   dur cens   sp   rc  ed ben  wage    a1   a2   a3     a4 lapse
   39    0    1    1   12 5.00 5.33    0    1     0     0     0
    7    1    0    0   11 3.78 4.20    1    0     0     0     0
   10    1    0    1   12 4.52 5.26    1    0     0     0     0
   35    0    1    1   14 4.90 5.39    0    1     0     0     0
    3    0    1    1   13 4.66 5.34    0    1     0     0     0
    3    1    0    1   16 4.81 5.08    0    1     0     0     0
    8    1    0    0   12 4.69 4.81    0    1     0     0     0
    6    1    0    1    4 4.12 4.45    0    0     0     0     0
   26    1    1    1   16 4.88 5.34    0    0     1     0     0
   11    1    1    0   10 4.80 5.08    0    1     0     0     0
   12    1    0    1    0 4.43 5.61    0    1     0     0     0
   13    1    1    1    8 4.89 5.20    0    0     0     1     0
   26    0    0    1   12 4.32 4.70    1    0     0     0     0
    6    1    1    1   12 4.52 5.04    1    0     0     0     0
    7    1    1    1   12 4.65 4.99    0    1     0     0     0
    4    1    1    1    7 4.55 4.73    1    0     0     0     0
    2    1    0    0    8 4.87 5.19    0    0     0     1     0
    4    1    1    1   12 4.37 5.26    0    1     0     0     0
    4    0    1    1   17 4.88 5.30    0    1     0     0     0
    3    1    0    1   12 4.85 4.96    0    0     1     0     0
   30    0    0    1   15 4.58 5.18    0    0     0     0     0
   30    0    1    1   12 4.99 5.48    0    0     0     0     0
   27    1    0    1   12 4.94 5.34    0    0     1     0     0
   26    1    1    0   12 4.58 5.87    0    0     0     1     0
