   dur cens   sp   rc  ed ben  wage    a1   a2   a3     a4 lapse
    6    0    1    0   10 4.18 4.46    1    0     0     0     0
   14    1    1    1   12 4.99 5.58    0    0     1     0     0
    3    1    1    1   12 4.16 4.56    0    1     0     0     0
   20    1    0    1   12 4.79 5.23    1    0     0     0     0
    4    1    1    1    7 4.52 5.52    0    0     1     0     0
    1    1    1    1   14 4.41 4.66    0    1     0     0     0
    5    1    1    1   12 4.61 4.74    0    0     0     1     0
    3    1    0    1   12 4.54 4.93    0    1     0     0     0
    3    1    1    1   13 4.52 5.45    0    0     1     0     0
    3    1    1    1   12 4.80 5.14    0    0     1     0     0
    1    1    1    1    6 4.47 4.57    0    0     0     0     0
   14    0    1    0   16 4.34 4.41    0    1     0     0     0
   10    0    0    0    0 4.37 5.22    0    1     0     0     0
   14    1    1    1   11 4.41 4.69    0    0     0     0     0
   12    1    0    0    8 4.52 4.69    0    0     1     0     0
    7    1    1    1   12 4.52 5.13    0    1     0     0     0
    6    1    1    1    0 4.43 5.45    0    1     0     0     0
   12    1    1    0    7 4.21 4.59    0    0     1     0     0
   26    1    0    1   12 4.79 5.20    0    1     0     0     0
    5    1    1    1   11 4.52 5.35    0    0     0     1     0
   12    1    1    1   12 4.54 5.16    0    0     1     0     0
   15    1    0    1   11 3.76 3.91    1    0     0     0     0
   19    1    1    1   12 4.71 5.14    0    0     0     1     0
   34    0    1    1   12 3.69 4.16    0    0     0     0     0
    7    1    1    1   12 4.47 4.70    1    0     0     0     0
   16    1    0    1   13 4.01 4.55    1    0     0     0     0
   16    1    1    1   12 4.49 4.73    1    0     0     0     0
   14    1    1    1   11 4.80 4.93    1    0     0     0     0
   24    1    1    1   12 5.00 5.82    0    1     0     0     0
    5    1    1    1   12 5.08 5.33    0    0     1     0     0
    6    1    1    1   12 5.00 5.63    0    1     0     0     0
    7    1    1    1   16 5.00 5.22    0    1     0     0     0
    2    0    1    1   15 4.44 5.25    0    1     0     0     0
    3    1    1    1   12 4.52 5.16    0    1     0     0     0
   10    1    1    1   12 4.89 5.35    0    0     1     0     0
    2    1    1    1    8 4.46 5.25    0    0     1     0     0
   17    1    1    1   10 4.52 4.74    1    0     0     0     0
   18    1    0    1   12 4.81 5.11    0    1     0     0     0
    1    1    1    1   10 4.52 5.43    0    0     0     1     0
   26    0    1    1   16 4.52 5.44    0    1     0     0     0
    7    0    0    1   12 4.90 5.05    0    0     1     0     0
   12    1    1    1   12 4.87 5.45    0    1     0     0     0
   21    1    1    1   12 4.39 4.78    1    0     0     0     0
   15    1    1    0   10 4.66 4.80    0    0     1     0     0
   17    1    1    0    8 4.40 4.78    0    0     1     0     0
    5    1    1    1    8 4.00 4.24    1    0     0     0     0
   10    0    1    0   10 4.66 5.33    0    1     0     0     0
   12    1    0    1   12 4.61 5.12    0    0     1     0     0
   21    1    0    0    7 4.11 4.44    0    0     0     0     0
   38    0    1    0   10 4.92 5.61    0    1     0     0     0
   26    0    1    0   10 3.41 3.72    0    0     1     0     0
    2    0    0    1   12 4.81 5.40    0    0     1     0     0
    1    1    1    1   12 4.49 4.93    0    1     0     0     0
   18    1    0    0   12 4.37 4.89    0    1     0     0     0
    2    1    0    1   13 4.69 4.93    1    0     0     0     0
    3    1    1    1   14 4.63 4.93    0    1     0     0     0
   16    1    1    1    8 4.55 4.91    0    0     1     0     0
   30    1    1    1   14 5.00 5.27    0    0     1     0     0
    7    0    0    1   12 4.81 5.19    1    0     0     0     0
   27    1    1    1   10 4.90 5.18    0    0     0     1     0
   17    1    0    1   16 4.61 5.18    0    0     1     0     0
    2    1    0    1   12 4.25 4.66    0    1     0     0     0
    2    1    1    1   14 4.59 5.87    0    1     0     0     0
    4    0    1    1    7 4.39 4.77    0    0     0     1     0
   16    1    1    1    8 4.43 5.33    0    0     1     0     0
   14    1    1    1   14 4.73 4.81    0    1     0     0     0
    6    1    1    1    8 4.96 5.61    0    0     0     1     0
    1    1    1    1   12 5.08 5.57    0    1     0     0     0
    8    1    1    1   15 4.87 5.07    0    1     0     0     0
   11    1    1    1    4 4.37 4.88    0    0     0     0     0
   25    0    1    1   14 4.83 5.27    0    1     0     0     0
   12    1    1    1   10 4.89 5.35    0    0     1     0     0
    8    1    1    1   12 4.61 5.41    0    0     1     0     0
   14    0    0    0   12 4.39 4.46    0    0     1     0     0
   26    0    0    1   17 4.28 4.64    1    0     0     0     0
   13    1    1    1   10 4.79 5.17    0    1     0     0     0
    6    1    1    1   12 4.52 5.14    0    1     0     0     0
    4    1    0    1   12 4.28 5.09    0    1     0     0     0
    3    0    1    1   12 4.70 5.40    0    0     1     0     0
   28    0    1    1   12 5.04 5.44    0    0     1     0     0
    3    1    0    0   12 4.80 5.34    0    1     0     0     0
    3    1    0    1   13 4.37 4.71    1    0     0     0     0
    1    1    1    1   13 4.96 5.06    0    0     1     0     0
   22    1    1    0   10 4.37 5.06    0    0     1     0     0
   25    1    1    1   12 4.42 4.79    0    1     0     0     0
   11    0    0    1   12 4.70 5.55    0    1     0     0     0
    3    1    1    1   12 4.87 5.20    0    1     0     0     0
    5    1    1    1   11 4.79 5.56    0    0     0     1     0
    5    1    1    0    0 4.52 5.32    0    1     0     0     0
   18    1    1    0   10 4.95 5.18    0    1     0     0     0
    8    1    0    1   12 4.40 4.65    0    1     0     0     0
   39    0    1    1    1 5.00 5.27    0    0     0     1     0
   22    0    1    1   11 5.04 5.45    1    0     0     0     0
    9    1    1    1   10 4.31 4.57    0    0     0     0     0
    3    1    0    1    8 4.70 4.99    0    0     1     0     0
    5    1    1    1   13 4.43 5.27    1    0     0     0     0
    8    1    0    1   16 4.37 5.13    0    0     1     0     0
   20    1    1    1   12 4.96 5.30    0    1     0     0     0
   10    1    0    1   16 4.92 5.16    0    0     0     1     0
   26    0    1    1   12 4.28 4.96    0    1     0     0     0
   18    1    1    1   12 4.87 5.50    0    0     0     1     0
    2    1    1    1   12 5.00 5.47    0    0     0     1     0
    1    1    1    1   17 4.58 5.76    0    0     0     1     0
   29    1    1    1   12 4.87 5.35    0    1     0     0     0
    1    1    0    0   10 4.46 4.91    0    0     1     0     0
    8    0    1    1   12 4.34 4.43    0    0     0     1     0
   36    1    1    0    5 4.29 4.69    0    0     0     1     0
   11    1    1    0   12 4.58 5.16    0    0     1     0     0
   15    1    1    1   12 4.77 5.15    0    1     0     0     0
    8    0    1    1   12 5.02 5.16    0    1     0     0     0
   11    1    1    1   14 4.87 5.58    0    1     0     0     0
   36    0    0    0    2 4.54 4.98    0    0     0     1     0
   23    1    0    0   11 4.18 4.38    0    0     1     0     0
    2    1    1    1   12 4.43 4.57    0    1     0     0     0
    7    1    1    1   12 4.73 4.92    0    1     0     0     0
   21    1    1    1   12 4.59 5.65    0    0     0     0     0
    2    1    1    1   12 5.00 5.89    0    0     0     1     0
    3    1    0    1   15 4.92 5.10    1    0     0     0     0
