pay     market.val   log.pay      val.decile
   1628886     283.469   14.30341          2
   7953108     285.714   15.88907          2
   1634588     286.066    14.3069          2
    937185     286.465   13.75064          2
    709048     286.667   13.47168          2
   8372297     289.163   15.94044          2
   1812563     290.743   14.41025          2
    808500     292.127   13.60294          2
   1128518     292.371   13.93642          2
   1014592     292.469      13.83          2
    495494     292.846   13.11331          2
   1432151     292.998   14.17469          2
    712968      293.71   13.47719          2
    394637     296.882   12.88572          2
    949010     297.419   13.76318          2
   3785821     297.585   15.14677          2
   1553229     297.734   14.25585          2
   1173963     298.127    13.9759          2
    773751     299.098   13.55901          2
    483479      299.51   13.08876          2
    195899     299.766   12.18535          2
    741084     299.868   13.51587          2
   1448072     300.471   14.18574          2
    692371     300.615   13.44788          2
   2009857     302.775   14.51357          2
    897340     304.413   13.70719          2
    892215     304.767   13.70146          2
   1453815     305.014    14.1897          2
   1689645     305.605   14.34003          2
   1001665     307.301   13.81717          2
   1728724     307.427   14.36289          2
   1831545     307.498   14.42067          2
    953077     307.581   13.76745          2
    472252     312.051   13.06527          2
   1029679     312.543   13.84476          2
     68012     313.129   11.12744          2
   9998144     313.554   16.11791          2
    498980     314.795   13.12032          2
   1549113     315.202   14.25319          2
   1875789     315.567   14.44454          2
   1145455     316.712   13.95131          2
    667500      317.74   13.41129          2
   1910559     319.244   14.46291          2
   6913223     319.432   15.74895          2
   2130102     321.299   14.57168          2
   1064048     322.082   13.87759          2
   1349944     322.372   14.11557          2
    700627     322.463   13.45973          2
    355546     322.488   12.78141          2
   3760249     322.661      15.14          2
   1757036     323.487   14.37914          2
    861465     323.636   13.66639          2
    558319     324.185   13.23269          2
    984219     324.248    13.7996          2
   4593031     325.125   15.34005          2
   1712459     325.286   14.35344          2
    872821     325.376   13.67949          2
   1269669      326.86   14.05427          2
   1090431     331.388   13.90208          2
   7581889     332.024   15.84127          2
   1470755     332.292   14.20129          2
    605430      332.53   13.31369          2
    504314     334.171   13.13095          2
    681437     334.578   13.43196          2
    401000     334.989   12.90172          2
   1276518     335.682   14.05965          2
   1352526     335.713   14.11748          2
   1373305     336.206   14.13273          2
    584698     338.444   13.27885          2
    841928     340.659   13.64345          2
   1661640     341.599   14.32332          2
   1978001      341.75    14.4976          2
  15537776     342.014   16.55878          2
    139644     342.169   11.84685          2
    624832     342.431   13.34524          2
   1204782     342.732   14.00181          2
   1514319      343.04   14.23048          2
   1615684     343.437   14.29527          2
   1971375     343.743   14.49424          2
   2522869      343.89   14.74091          2
    891258      343.98   13.70039          2
   3942711     344.023   15.18738          2
   1154737     344.946   13.95938          2
   7355399     345.503   15.81095          2
   2708360     346.966   14.81185          2
   6177978     350.093    15.6365          2
   1243859      351.45   14.03373          2
    937998     353.633    13.7515          2
   1057448     353.719   13.87137          2
   2965701     356.277   14.90262          2
   1509072     356.559   14.22701          2
   1189845     357.682   13.98933          2
    814125     358.396   13.60987          2
   1336574     359.704   14.10562          2
   4562491     360.174   15.33338          2
    996413     361.488   13.81192          2
   2557009     361.921   14.75435          2
   2308949     363.854    14.6523          2
    500000     365.437   13.12236          2
    389661     367.224   12.87303          2
    744131     368.917   13.51997          2
   4622244     369.706   15.34639          2
   1283532     372.536   14.06513          2
   1455725     372.752   14.19101          2
   8957259     373.418   16.00797          2
   2590542     375.112   14.76738          2
    985667     381.871   13.80107          2
    483977     382.273   13.08979          2
    968792     382.397    13.7838          2
   1673218     384.458   14.33026          2
   3394717     384.897   15.03773          2
   1217056     387.573   14.01195          2
   1327561     390.521   14.09885          2
   2659146     390.827   14.79352          2
   2366052     391.584   14.67673          2
   1736175     391.723    14.3672          2
   1972567     391.944   14.49485          2
    970644     392.307   13.78572          2
   2621218     393.741   14.77915          2
    741410     393.756   13.51631          2
    888598     394.536    13.6974          2
   1467667     395.344   14.19918          2
    399052     397.782   12.89685          2
   1108399     397.872   13.91843          2
   1821631     398.274   14.41524          2
   2981331     399.256   14.90788          2
   2048687     400.643   14.53271          3
   2925011     400.885   14.88881          3
   1197811     400.919   13.99601          3
    456260     402.084   13.03082          3
   3378756     403.058   15.03302          3
    560308      403.14   13.23624          3
    786502     407.105   13.57535          3
   1349296     410.937   14.11509          3
   4308913     413.359    15.2762          3
   1521057     413.726   14.23492          3
   1851486     414.631    14.4315          3
    802029      415.45    13.5949          3
    976492     415.597   13.79172          3
    300000     416.745   12.61154          3
   1335059     417.076   14.10449          3
   1066424     417.348   13.87982          3
    421934     417.935    12.9526          3
    458737     418.686   13.03623          3
   2658589     419.309   14.79331          3
   2868718     419.354   14.86938          3
   1405866     427.232   14.15616          3
   1463006     427.856     14.196          3
   9420969      428.92   16.05845          3
    419490     429.475   12.94679          3
