 price   lot floor bath golf lake pool 
  68500 15813  1900  2.0    0    0    0
  77000 12150  1757  2.0    0    0    0
 125000 15500  2320  2.5    0    0    1
  79000  9180  1850  2.0    0    0    0
  80000 16800  1772  2.0    0    0    0
  79900  9200  2000  2.0    0    0    0
  76900 13600  2000  2.5    0    0    0
 128900 13700  3464  3.0    0    0    0
 121500 17900  2324  2.5    0    0    0
  57500 15750  1430  1.5    0    0    0
 210000 20250  4700  4.5    1    0    1
 175000  9545  3600  3.0    0    1    0
 134900 16400  2600  2.5    0    0    0
  82800 15400  1960  2.5    0    0    0
  89000 12000  1892  2.0    0    0    0
  99500  9200  2300  2.5    0    0    0
 122000 10200  2150  2.0    0    1    0
 124500 14050  2450  2.5    0    0    0
  67000 14600  1500  2.0    0    0    0
  72500 15750  1864  2.0    0    0    0
  90000 13800  2250  2.5    0    0    0
 160000 16875  4100  3.0    0    0    0
 124900 15600  2300  2.5    0    0    0
 157500 15984  2384  2.5    0    0    0
  85000 14260  2059  3.0    0    0    0
 139900 16400  2600  2.5    0    0    0
 135000  9350  2440  3.0    0    0    0
  93000 11937  2300  2.5    0    0    0
  88000  9120  2100  3.0    0    0    0
 130000  8800  2800  3.5    0    0    0
  66000 16440  2400  2.0    0    0    0
 156750 12150  3600  2.5    0    0    0
  85000 13053  2550  3.0    0    0    0
  95000 16660  3000  2.5    0    0    0
  93000 12240  2000  2.0    0    0    0
 125000 38338  2860  2.5    0    0    0
  92500 15600  2100  2.5    0    0    0
  78000 14595  2335  3.0    0    0    0
  87000 14349  2350  2.0    0    0    0
  84000 14070  2230  2.0    0    1    0
  95000 10000  2338  2.0    0    0    0
  96000  9200  2000  2.0    0    0    0
  60900 12600  1750  2.0    0    0    0
  80000 11000  2600  3.0    0    0    0
  76500 14025  2430  3.0    0    0    0
 139900 13440  2250  2.5    0    1    0
 172000 15952  4000  4.0    1    0    0
  89000 17163  1850  2.0    0    0    0
 137900 19800  2230  2.5    0    0    0
  90000 12537  2100  2.5    0    1    0
  65000 16510  1500  2.0    0    0    0
  88500 17875  2400  2.5    0    0    0
  84000 15475  1917  2.5    0    0    0
  85900 11875  1901  2.0    0    0    0
  93250  9270  2060  2.0    0    0    0
  61000 15120  1329  2.0    0    0    0
 130000 15450  2076  3.5    1    0    0
 164200 12400  2300  2.5    0    0    1
  77600 13063  2460  2.5    0    0    0
  65000 13067  1575  2.0    0    0    0
 178500 15200  3400  2.5    0    0    0
  94000 11875  2053  2.5    0    0    0
  77500 15618  2105  2.5    0    0    0
  93000 12780  1698  2.5    0    0    0
 160000 16845  2318  2.5    1    0    0
 135000 15760  2510  2.5    0    0    0
 174000 16875  4100  2.5    0    0    0
 160000 13500  2750  2.5    0    0    0
 105000 14153  2300  2.5    0    0    0
 125000 12820  2720  2.5    0    0    0
